project_code,archetype,year,quarter,gross_sales,productivity_increase,employment_generated,employment_increase,man_months,cost_to_sales_ratio,gross_margin,labor_cost_share,material_cost_ratio,repayment_days_late,repayment_overdue_count,repayment_completion_ratio,sales_trend_3q,sales_volatility,sales_vs_baseline_ratio,regular_employment_ratio,avg_workdays_per_employee,market_count,interventions_availed_count,report_days_late,problems_reported_count,label,outcome,triggered
SETUP-0001,growing,2022,2,75620.0,8.206338985476139,13,8.333333333333332,38.95,0.7523263686855329,0.2476736313144671,0.33305648774883584,0.23895794763290135,3.0,1.0,0.5,0.07882890622315385,0.0,1.1831094155608457,0.3076923076923077,59.92307692307692,3.0,1.0,0.0,1.0,0,Routine Monitoring,
SETUP-0001,growing,2022,3,99370.0,31.4070351758794,13,8.333333333333332,39.8,0.5418424071651404,0.4581575928348596,0.3259307451607344,0.2863037133943846,2.0,1.0,0.6666666666666667,0.18061255742725882,0.1160034809520163,1.5546890058751819,0.46153846153846156,61.23076923076923,5.0,1.0,0.0,0.0,0,Routine Monitoring,
SETUP-0001,growing,2022,4,99090.0,-0.28177518365703935,12,0.0,37.6,0.657845998587143,0.342154001412857,0.3263323881400228,0.22671308911090926,2.0,2.0,0.5,0.1295073626677133,0.13393618247634437,1.5503082780735813,0.5,62.666666666666664,4.0,1.0,0.0,0.0,0,Routine Monitoring,
SETUP-0002,volatile,2022,2,482280.0,-6.2951737001632075,17,13.333333333333334,46.7,0.7141561126316663,0.2858438873683337,0.37917020748979136,0.34309944430621214,4.5,0.0,1.0,-0.06499759268175252,0.0,1.1222350450656091,0.4117647058823529,54.94117647058823,4.0,0.0,0.0,2.0,0,Routine Monitoring,SUSTAINED_DECLINE
SETUP-0002,volatile,2022,3,438120.0,-9.15650659368002,16,6.666666666666667,40.25,0.8377064046379987,0.1622935953620013,0.3894590351977365,0.29555829453117866,4.5,1.0,0.6666666666666667,-0.08002341332887365,0.014306664467584058,1.0194775191675887,0.4375,50.3125,3.0,2.0,7.0,3.0,1,Additional Review or Follow-up,SEVERE_SALES_CONTRACTION|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|SUSTAINED_DECLINE
SETUP-0002,volatile,2022,4,262545.0,-40.07463708572993,13,-13.333333333333334,36.7,0.9512008988935229,0.04879910110647707,0.35914174592196535,0.3538060142070883,4.5,2.0,0.5,-0.18863176496576098,0.15294044467874093,0.6109256031905747,0.15384615384615385,56.46153846153846,1.0,1.0,12.0,3.0,0,Routine Monitoring,
SETUP-0003,stable,2022,2,281250.0,1.0672703751617076,15,-6.25,42.3,0.7267013333333333,0.2732986666666667,0.396138361594982,0.31232,3.0,1.0,0.5,0.010616052758565224,0.0,0.9676182967554408,0.13333333333333333,56.4,1.0,2.0,10.0,3.0,0,Routine Monitoring,EMPLOYMENT_BELOW_BASELINE
SETUP-0003,stable,2022,3,317160.0,12.767999999999999,14,-12.5,41.85,0.6901544646235338,0.3098455353764662,0.43371928625686246,0.3448417202673729,3.0,1.0,0.6666666666666666,0.06652294425623653,0.058503648124191454,1.0911638008851754,0.42857142857142855,59.785714285714285,4.0,0.0,0.0,1.0,1,Additional Review or Follow-up,SEVERE_SALES_CONTRACTION|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE
SETUP-0003,stable,2022,4,192720.0,-39.2357169882709,13,-18.75,38.25,0.8936557700290577,0.10634422997094231,0.3876557886313361,0.32215130759651306,3.0,2.0,0.5,-0.08257637388840576,0.2227510928958537,0.6630378600914082,0.0,58.84615384615385,2.0,0.0,14.0,3.0,0,Routine Monitoring,
SETUP-0003,stable,2023,1,219515.0,13.903590701535906,17,6.25,50.7,0.7875137917682162,0.2124862082317837,0.33777365550249033,0.304352777714507,3.0,3.0,0.4,-0.12255341885627495,0.24786784490910455,0.7552239303547399,0.5294117647058824,59.64705882352941,4.0,2.0,0.0,1.0,0,Routine Monitoring,EMPLOYMENT_BELOW_BASELINE
SETUP-0003,stable,2023,2,240205.0,9.425324009748765,15,-6.25,45.75,0.6885964072354863,0.3114035927645137,0.32874719701966637,0.34722424595657875,5.0,3.0,0.5,-0.08418729372937293,0.2406412222312545,0.8264062327898334,0.06666666666666667,61.0,2.0,1.0,11.0,2.0,1,Additional Review or Follow-up,SEVERE_SALES_CONTRACTION|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|LABOR_CONTRACTION
SETUP-0003,stable,2023,3,141990.0,-40.88799150725422,13,-18.75,38.3,0.8414568631593774,0.15854313684062263,0.38329862972790246,0.36009578139305587,5.0,4.0,0.42857142857142855,-0.0662109940460456,0.24840831243514444,0.4885053225113068,0.0,58.92307692307692,1.0,1.0,16.0,4.0,1,Additional Review or Follow-up,SALES_CONTRACTION|SUSTAINED_DECLINE
SETUP-0004,declining,2022,2,126060.0,2.5711960943856793,11,-8.333333333333332,27.75,0.8382436141519911,0.16175638584800883,0.4941276527768459,0.3220688561002697,6.0,1.0,0.2144495134429482,0.02538560411311054,0.0,0.8365235221144044,0.09090909090909091,50.45454545454545,1.0,1.0,11.0,3.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|LABOR_CONTRACTION
SETUP-0004,declining,2022,3,107460.0,-14.75487862922418,9,-25.0,21.9,0.9832211055276382,0.016778894472361788,0.40886003323586695,0.315605806811837,6.0,2.0,0.14296634229529878,-0.06497951854553616,0.0866303736180493,0.7130954917215128,0.1111111111111111,48.666666666666664,1.0,1.0,14.0,3.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|EMPLOYMENT_BELOW_BASELINE|SUSTAINED_DECLINE
SETUP-0004,declining,2022,4,102030.0,-5.053042992741485,9,-25.0,24.15,0.8273450945800255,0.17265490541997447,0.32800617717293884,0.3112809957855533,6.0,3.0,0.1072247567214741,-0.07085614570836514,0.07090271125540935,0.6770624699455234,0.2222222222222222,53.666666666666664,2.0,1.0,8.0,2.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|SUSTAINED_DECLINE|LABOR_CONTRACTION
SETUP-0004,declining,2023,1,77900.0,-23.649906890130353,9,-25.0,20.2,0.902971758664955,0.09702824133504492,0.44739989906385275,0.3684210526315789,6.0,4.0,0.08577980537717927,-0.14503325674204862,0.07594519144295594,0.5169378262153903,0.1111111111111111,44.888888888888886,2.0,1.0,20.0,3.0,1,Additional Review or Follow-up,SEVERE_EMPLOYMENT_SHORTFALL|SALES_CONTRACTION|EMPLOYMENT_BELOW_BASELINE|SUSTAINED_DECLINE|LABOR_CONTRACTION
